Unnamed: 0,Clean_Title,Clean_Author,Title,Author,Genre,Type,Rating,No. of People rated,URLs
4743,jaina path of purification,jaini padmanabh s.,The Jaina Path of Purification,Padmanabh S. Jaini,Jainism Religion,Paperback,4.6,21.0,https://www.amazon.in/Jaina-Path-Purification-Padmanabh-Jaini/dp/8120815785/ref=zg_bs_g_1318197031_d_sccl_14/000-0000000-0000000?psc=1
6804,rippling abs,martin paul,Rippling Abs: Fired Up Body Series - Vol 7: Fired Up Body,Paul Martin,Sports Cheerleading,Kindle Edition,4.3,21.0,https://www.amazon.in/Rippling-Abs-Fired-Body-Vol-ebook/dp/B01AHBW6TE/ref=zg_bs_g_1318239031_d_sccl_1/000-0000000-0000000?psc=1
3345,aryans,allen charles,Aryans,Charles Allen,Textbooks Social Higher Sciences Education,Hardcover,4.3,21.0,https://www.amazon.in/Aryans-Charles-Allen/dp/9357312684/ref=zg_bs_g_4149727031_d_sccl_16/000-0000000-0000000?psc=1
2797,steps to architecture,madan nimish,Steps to Architecture: B.Arch - NATA/JEE (Main) Exam Guide,NIMISH MADAN,Design Preparation Education and Exams Exam Arts,Paperback,4.6,20.0,https://www.amazon.in/Steps-Architecture-B-Arch-NATA-Guide/dp/9354772056/ref=zg_bs_g_22934500031_d_sccl_18/000-0000000-0000000?psc=1
5782,willing to pay price,mimi wilde,WILLING TO PAY THE PRICE,MIMI WILDE,Romance Town Small,Kindle Edition,4.5,20.0,https://www.amazon.in/WILLING-PAY-PRICE-MIMI-WILDE-ebook/dp/B0CMK9569M/ref=zg_bs_g_92041937031_d_sccl_9/000-0000000-0000000?psc=1
195,my paintings thoughts behind them,kamath vasudeo,My Paintings Thoughts Behind Them,Vasudeo Kamath,Film Photography Theory Criticism Arts,Paperback,4.5,20.0,https://www.amazon.in/My-Paintings-Thoughts-Behind-Them/dp/8179254372/ref=zg_bs_g_1318057031_d_sccl_16/000-0000000-0000000?psc=1
2386,mrs k m mathew’s finest recipes,k.m. pala,Mrs K M Mathew’s Finest Recipes,K.M. Pala,Lifestyle Home Drink Crafts Entertaining Food,Hardcover,4.2,20.0,https://www.amazon.in/Mrs-Mathews-Finest-Recipes-Mathew/dp/0143453122/ref=zg_bs_g_1318120031_d_sccl_7/000-0000000-0000000?psc=1
3328,ulfa,bhattacharyya rajeev,ULFA: The Mirage of Dawn,Rajeev Bhattacharyya,Textbooks Social Higher Sciences Education,Paperback,4.9,20.0,https://www.amazon.in/ULFA-Mirage-Dawn-Rajeev-Bhattacharyya/dp/9356993084/ref=zg_bs_g_4149727031_d_sccl_29/000-0000000-0000000?psc=1
1820,vinícius júnior (ultimate football heroes,& matt oldfield tom,Vinícius Júnior (Ultimate Football Heroes - The No.1 football series): Collect them all!,Matt & Tom Oldfield,Books Children's Sport,Paperback,4.5,20.0,https://www.amazon.in/Vin%C3%ADcius-J%C3%BAnior-Ultimate-Football-Heroes/dp/1789464935/ref=zg_bs_g_1318103031_d_sccl_21/000-0000000-0000000?psc=1
2188,comptia linux+ certification kit,blum r,"CompTIA Linux+ Certification Kit - Exam XK0-005, Second Edition",R Blum,Digital Administration Internet Computing Media Network,Paperback,4.6,20.0,https://www.amazon.in/CompTIA-Linux-Certification-Kit-XK0-005/dp/1119880602/ref=zg_bs_g_1318114031_d_sccl_9/000-0000000-0000000?psc=1
